Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Scurvy :,"acet-ac., agav-a., bov., cit-ac., gali., Phos., rhus-g., urine.",
"Homeosetu Clinical Repertory; Boericke; Sea-bathing, effects of :",mag-m.,
Homeosetu Clinical Repertory; Boericke; Seborrhoea : ,"bran., bry., kali-s., raph., sel., vinc.",
Homeosetu Clinical Repertory; Boericke; Seborrhoea; Capitis : ,bran.,
Homeosetu Clinical Repertory; Boericke; Self-abuse : ,"ph-ac., staph.",
"Homeosetu Clinical Repertory; Boericke; Semen, too early ejaculation of : ",titan.,
Homeosetu Clinical Repertory; Boericke; Seminal emissions : ,trib.,
Homeosetu Clinical Repertory; Boericke; Senility : ,"ambr., anac., Ars-i., aur-i., bar-c., bar-m., bufo., carb-v., caust., cocain., dol., ferr-pic., ichth., jab., kreos., lach., lob., mosch., nat-sil., orch., rhus-a., sec., stroph., tarent-c., tub.",
Homeosetu Clinical Repertory; Boericke; Senility; Premature : ,"bufo., mosch.",
"Homeosetu Clinical Repertory; Boericke; Senses, disordered : ","anh., par.",
"Homeosetu Clinical Repertory; Boericke; Sensibility, loss of : ","caps., caust., op., phys.",
Homeosetu Clinical Repertory; Boericke; Sensitiveness : ,"Acon., aesc., agar., all-c., all-s., ammc., ampe-qu., ant-c., anth., apis., aquil., aral., aran., arg-n., arn., ars., asaf., asc-t., astac., aur., aza., bad., bar-c., bell., bell-p., bor., bov., bry., calad., calc., calc-ar., calc-sil., calen., camph., canch., cann-i., cann-s., canth., carb-v., Carb-s., card-m., cham., chen-a., chin., chin-m., chin-s., cimic., cina., cist., clem., coc-c., cocc., cocci-s., coff., con., conch., conv., cop., cor-r., cot., crot-h., croto-t., dulc., echi., euph-l., ferr., ferr-p., ferr-pic., fl-ac., form-ac., gamb., gels., gent-l., goss., graph., guai., hedeom., helon., Hep., hyper., ign., irid., jatr., just., kali-bi., kali-c., kali-i., kali-n., kali-p., kreos., lac-c., lach., linu-u., lith-c., lyc., lyss., mag-c., mag-m., mang., med., merc., merc-c., merc-tn., merl., mez., mim-h., mosch., mur-ac., myos., nat-c., nit-ac., nit-s-d., nux-m., nux-v., olnd., op., osm., ox-ac., paeon., pana., par., petr., phys., phyt., pimp., pip-m., plan., plat., plb., prim-o., psor., ptel., puls., ran-b., ran-s., rhus-d., rhus-t., ric., sabad., hir-m., sars., senec., sep., Sil., solid., spig., spong., staph., stel., stront-c., sulph., syph., tanac., tann-ac., tarax., tarent., tell., ther., thlaspi., thuj., thyr., tub., verat., vinc., vip., zinc.",
Homeosetu Clinical Repertory; Boericke; Sepsis :,"carb-v., paraf., pyrog.",
Homeosetu Clinical Repertory; Boericke; Septic diseases :,strept.,
Homeosetu Clinical Repertory; Boericke; Septicaemia : ,"anthr., crot-h., echi., irid., kali-chl., lat-h., pyrog., rhus-t.",
Homeosetu Clinical Repertory; Boericke; Sewer-gas poisoning :,pyrog.,
"Homeosetu Clinical Repertory; Boericke; Sexual; Atony, desire lost : ","dios., sel.",
Homeosetu Clinical Repertory; Boericke; Sexual; Excess : ,"chin., Kali-br., kali-c., nux-v., orig., ph-ac., phos., plat., Staph.",
"Homeosetu Clinical Repertory; Boericke; Sexual; Excess, effects of :","kali-br., nux-v.",
Homeosetu Clinical Repertory; Boericke; Sexual; Excitement : ,"agar., apis., arg., aster., calc-p., dulc., ferul., gaul., gins., hydr., hyos., kali-br., lac-c., lach., murx., onos., pic-ac., sabin., Tarent., yohim., zinc-p., zing.",
Homeosetu Clinical Repertory; Boericke; Sexual; Irritation :,"aloe., gaul., sed-ac.",
Homeosetu Clinical Repertory; Boericke; Sexual; Mania : ,"bar-m., canth., verat.",
"Homeosetu Clinical Repertory; Boericke; Sexual; Power, diminished :",kali-p.,
Homeosetu Clinical Repertory; Boericke; Sexual; Weakness :,"arge., con., cor-r., dios., form., kali-c., lec., lup., onos., orch., staph., titan., trib.",
Homeosetu Clinical Repertory; Boericke; Shingles :,"cedr., ran-b., vario.",
Homeosetu Clinical Repertory; Boericke; Shivering : ,"abies-c., aloe., arn., asar., canth., Caps., caul., chin-s., dros., hydr-ac., lob-p., mag-p., mez., rheum., sep., sil., zinc.",
Homeosetu Clinical Repertory; Boericke; Shock : ,"adren., Am-c., ant-t., arn., aster., bapt., camph., cann-i., casc., cic., cimic., cina., coca., colch., con., cupr., dig., glon., hyosin., hyper., ign., ip., lith-c., mag-c., mag-m., morph., nux-v., paraf., ph-ac., Phyt., ran-b., rhodi., sant., sep., stront-c., stry., sul-ac., tab., thal., verat., verat-v., verin.",
Homeosetu Clinical Repertory; Boericke; Shoulder; Pain in :,"abrot., acon., alum., anag., ars., arund., asc-t., aspar., berb., calad., camph., cann-i., cere-b., chel., cocc., con., euon-a., eup-pur., fago., ferr-m., ferr-p., Gran., gua., guai., hip-ac., hyper., indg., inul., lac-ac., mag-c., mag-s., nicc., ol-an., Pall., phyt., pimp., podo., prim-o., rad-br., rhod., rhodi., rhus-t., spira., stel., stict., stront-c., sulph., tab.",
Homeosetu Clinical Repertory; Boericke; Shoulder; Rheumatism of :,"am-caust., ferr., lith-l., sang.",
"Homeosetu Clinical Repertory; Boericke; Shoulder; Right, pain in :","ferr-m., inul., mag-c., pall., phyt., podo., stict.",
Homeosetu Clinical Repertory; Boericke; Shyness : ,"ambr., kali-p.",
Homeosetu Clinical Repertory; Boericke; Sick-headache :,"anag., asc-t., bran., chion., cocc., epip., eup-pur., ger., grat., iris., kali-cy., meli., menis., Paull., sang., sarr., sulph., tab., thea., ther., xan.",
"Homeosetu Clinical Repertory; Boericke; Side, pain in : ","alf., am-c., arg-n., arund., aur-m., bar-c., bor., bry., calc., calc-ar., calen., cedr., chel., chrysan., cimic., clem., coloc., com., crot-h., dig., ferr-pic., gins., graph., hep., iber., kali-c., kali-i., Lac-c., lyc., mag-c., mag-p., med., murx., nat-s., nit-ac., nux-m., phos., phyt., ptel., sapo., senec., sep., spira., sul-ac., tab., tax., Tell., ter., ther., thuj., trom., x-ray., yuc.",
Homeosetu Clinical Repertory; Boericke; Sighing :,"ail., apoc., benz-n., calad., calc-p., cere-b., dig., gran., Hell., iber., Ign., iodof., jab., naphtin., phase., sulfon.",
Homeosetu Clinical Repertory; Boericke; Sight; Defective :,astra-me.,
Homeosetu Clinical Repertory; Boericke; Sight; Vanishing of :,grat.,
Homeosetu Clinical Repertory; Boericke; Sight; Weak :,"anac., cina., gran., kali-c., kali-p., sol-n.",
Homeosetu Clinical Repertory; Boericke; Sinking sensation :,"alst-s., apoc., calc-sil., calen., gala., hell., kali-cy., kali-fcy., lat-m., lepi., lyc., murx., oper., podo., rad-br., thea., thuj.",
Homeosetu Clinical Repertory; Boericke; Sinuses :,"adren., ammc., antipyrin., arn., aur-m., bry., coch., eucal., hecla., hep., hippoz., iod., kali-bi., Kali-i., menthol., nat-m., viol-o.",
Homeosetu Clinical Repertory; Boericke; Skin; Affections of :,"agar., aln., anthro., berb-a., calc-s., croto-t., gali., graph., hydrc., kali-m., merc-br., mez., nat-s., oena., pyrar., rad-br., sars., semp., skook., sul-i., Sulph., tub., vanil., vinc.",
Homeosetu Clinical Repertory; Boericke; Skin; Darkness of : ,"ail., Antipyrin., ars-h., cor-r., lach., Rhus-v.",
Homeosetu Clinical Repertory; Boericke; Skin; Diseases of :,"ail., anan., aq-mar., bor., carbn-s., chrysar., cic., iod., kali-ar., Lev., naphtin., phyt., sarr., sec., tax., titan., torul., zea-i.",
Homeosetu Clinical Repertory; Boericke; Skin; Eruption of :,"abrot., aeth., aethi-m., agar., ail., am-c., anac., anag., ant-c., ant-t., arn., ars., bell., benz., berb-a., bor., bov., calc., calc-i., calc-sil., calth., canth., carb-an., card-m., cic., con., cop., crat., Crot-h., croto-t., cupr-acet., Dulc., elaps., eucal., euph-l., frag., gels., graph., grin., hydr., hydrc., hyper., iris., jug-c., jug-r., Kali-bi., kali-c., kali-chl., kali-s., lacer., led., lith-c., lup., lyc., medus., merc., merc-d., mez., mur-ac., naphtin., nat-c., nat-m., nat-sal., olnd., phyt., pix., psor., Ran-b., ran-s., rhus-t., sang., sars., sel., sep., sil., still., stram., stront-c., sul-i., sulph., syph., ter., thuj., thyr., til., vac., vario., viol-t., zinc.",
Homeosetu Clinical Repertory; Boericke; Skin; Peeling of :,"cuc-p., elaps., hell-f., Lup., thyr., vip.",
Homeosetu Clinical Repertory; Boericke; Skin; Rough : ,"ars., berb-a., Euph-l., graph., kali-i., lith-c., nat-c., petr., psor., Xero.",
Homeosetu Clinical Repertory; Boericke; Skin; Sensitive : ,"ant-c., apis., bell., bell-p., calc-sil., chin., chin-s., cina., cot., crot-h., dulc., Hep., hyper., ign., mag-c., nit-ac., Olnd., ox-ac., paeon., petr., ran-b., rhus-d., ther., thuj., vinc.",
Homeosetu Clinical Repertory; Boericke; Skin; Unhealthy :,"bor., calc., calc-s., graph., Hep., hydr., sulph.",
Homeosetu Clinical Repertory; Boericke; Sleep; Disturbed :,"aeth., ail., ars., cit-v., cob., Coff., corn-a., euph-l., joan., kreos., menth., myric., torul., x-ray.",
Homeosetu Clinical Repertory; Boericke; Sleep; Dreamful : ,"indol., zinc-o.",
"Homeosetu Clinical Repertory; Boericke; Sleep; Dreams, anxious, in : ","Acon., alum., anac., Carb-s., cham., chin., euph-l., ferr-p., kreos., mag-m., sec., sil.",
Homeosetu Clinical Repertory; Boericke; Sleep; Excessive :,"kali-br., sil.",
Homeosetu Clinical Repertory; Boericke; Sleep; Overpowering :,tub.,
Homeosetu Clinical Repertory; Boericke; Sleep; Restless :,"abies-n., acon., adon., agar., ail., alum., apoc., aran., arn., ars., bapt., bell., bism., calc., camph., cast., coca., Cocain., corn-a., euph-l., ferr-p., kali-br., lact., mag-m., morph., nect., oxyt., passi., ptel., puls., rad-br., sant., scut., sec., Tarent-c., teucr., thea., torul.",
Homeosetu Clinical Repertory; Boericke; Sleep; Sudden : ,"Apis., hell., hydr., lach., parth., scut., sulph.",
Homeosetu Clinical Repertory; Boericke; Sleepiness :,"aeth., alum., am-c., apis., aran-s., bism., cann-i., cann-s., carb-v., carbn-o., cinnam., clem., coca., cycl., cyt-l., dig., euph-l., euphr., ind., indol., lach., lath., lina., mang., mang-o., morph., nat-m., Nux-m., op., paull., ph-ac., puls., rad-br., sapo., sarr., staph., stel., stram., thea., tub.",
Homeosetu Clinical Repertory; Boericke; Sleeplessness : ,"absin., acon., ambr., anac., ap-g., aquil., arg-n., arn., aur., bapt., bell., but-ac., cact., cadm., cann-i., caps., caust., chin., chin-ar., chlol., cimic., cinnb., coff., cuph., cypr., ferr-p., gels., helon., hyos., hyosin., ilx-v., joan., kali-br., kalm., lachn., lact., mag-p., morph., myric., nat-m., op., phenob., phos., psor., puls., rhus-t., sabad., scut., sel., senec., sil., sin-n., syph., tela., thea., valer., xan., yohim., zinc-p., Zinc-val.",
Homeosetu Clinical Repertory; Boericke; Sloughing :,"anthr., calen., formal., kali-ma., paraf., phyt., sil.",
Homeosetu Clinical Repertory; Boericke; Small-pox :,"ant-t., hep., hydr., kali-bi., kali-ma., maland., mill., sin-n., Vario.",
Homeosetu Clinical Repertory; Boericke; Smarting eruptions :,"croto-t., euph-l.",
Homeosetu Clinical Repertory; Boericke; Smell; Illusions of : ,"agn., manc.",
Homeosetu Clinical Repertory; Boericke; Smell; Loss of :,"am-m., amyg-p., ant-s., arg-n., arund., colch., iod., joan., just., kali-bi., kali-s., lem-m., mag-m., nat-m., puls., sil., teucr.",
Homeosetu Clinical Repertory; Boericke; Smell; Perverted :,"anac., zinc-m.",
"Homeosetu Clinical Repertory; Boericke; Smell; Sense of, too acute : ",lyc.,
Homeosetu Clinical Repertory; Boericke; Snake-bites : ,"agki-p., echi., sela.",
Homeosetu Clinical Repertory; Boericke; Sneezing :,"acon., aesc., aeth., agar., agro., all-c., am-br., am-m., am-p., ambro., anac., anth., apis., apoc., aral., arg., ars., ars-h., Ars-i., arund., asar., bad., bar-c., bar-m., bell., benz., calc., calc-i., Camph., carb-v., caust., chin., cycl., erio., eup-per., fago., gamb., gels., glyc., hep., ichth., ictod., ind., indg., iod., ip., jug-c., just., kali-bi., kali-c., kali-i., kali-n., kali-s-chr., lach., lim., lob-s., mangi., merc., merc-s., mez., morph., mur-ac., naphtin., nat-m., nicc., phle., pip-n., quill., ran-s., rhus-t., sabad., sanguin-n., sapin., sapo., senec., seneg., sil., sin-n., skook., solid., Squil., stict., succ., succ-ac., teucr., til., torul., tril., trinit., verb., xero., zinc.",
"Homeosetu Clinical Repertory; Boericke; Sneezing; Cough, at end of : ","agar., seneg.",
Homeosetu Clinical Repertory; Boericke; Snuffles : ,"am-c., apoc., kali-bi., lyc., merc., nux-v., samb.",
"Homeosetu Clinical Repertory; Boericke; Sobbing, spasmodic :",led.,
Homeosetu Clinical Repertory; Boericke; Somnambulism :,"art-v., dict., kali-br., kali-p., x-ray., zinc.",
Homeosetu Clinical Repertory; Boericke; Somnolence :,"antipyrin., chlol., diosm., kali-br., mate., nabal., ph-ac., ric., tong.",
Homeosetu Clinical Repertory; Boericke; Sore throat : ,"acet-ac., alum., am-m., arg., arg-n., Arum-d., arum-t., asim., bapt., cadm., calc-f., calc-s., caps., ceph., chr-ac., cist., cit-l., coch., coll., dros., echi., eucal., fago., ferr-i., Ferr-p., form., gala., gels., guai., gymn., hip-ac., hom., hydrin-m., ichth., ign., jac-c., kali-m., kali-ma., kali-n., kali-p., Lac-c., Lach., lachn., lyss., mag-c., mag-p., menth., merc., merc-cy., merc-i-r., nat-h., nicc., nym., ol-an., oxyt., phos., phos-pchl., phyt., pip-n., pop-c., prun-p., quill., rad-br., rham-cal., rhus-t., sabad., sal-ac., sanguin-n., sapin., sapo., sarcol-ac., sil., spong., thymu., trif-p.",
Homeosetu Clinical Repertory; Boericke; Spasmodic twitchings : ,"absin., ars., art-v., croc., hyos., op., osm., sant., stann., ziz.",
Homeosetu Clinical Repertory; Boericke; Spasms :,"absin., act-sp., aeth., agar., agar-ph., alum-sil., am-br., am-caust., ambr., aml-n., anac., ant-t., aral., arg-n., arge., arn., ars., art-v., asaf., asar., bapt., bar-c., bar-m., bell., blatta., bol., bor., brom., bruc., bufo., cact., caj., calc-f., camph., cann-i., cann-s., canth., caps., carb-ac., carb-v., carbn., carbn-h., cast., cast-v., caul., cer-ox., cham., chel., chen-a., chin., chin-ar., chlor., cic., cimic., cina., coc-c., coca., cocc., cod., con., cor-r., croc., crot-h., Cupr., cupr-acet., cupr-s., dros., dulc., elaps., ery-a., esin., eucal., euph., euphr., ferr., gels., glon., gran., graph., hedeom., hydr., hydr-ac., hydrang., hyos., hyper., ictod., ign., indg., ip., jab., kali-br., kali-m., kali-n., lach., lact., laur., led., leon., lev., lob-p., lol., lyss., mag-m., mag-p., meli., meph., mosch., mur-ac., naphtin., neri-o., nicot., nux-v., oena., oeno., op., osm., ouabin., ox-ac., passi., per., phys., pic-ac., pisc., plat., plb., puls., pyrus., rad-br., ran-b., sabad., samb., sang., sant., scut., sec., sil., sol-n., spira., stann., stict., still., stram., stront-c., Stry., sumb., tanac., tarent., thal., thlaspi., thymu., trif-p., upa., upa-a., uva., valer., verat-v., verbe-h., vib., viol-o., visc., zinc., ziz.",
Homeosetu Clinical Repertory; Boericke; Spastic paralysis : ,lath.,
Homeosetu Clinical Repertory; Boericke; Speech; Difficult :,"cocain., hyos., kali-cy., merc., sulfon., vip.",
Homeosetu Clinical Repertory; Boericke; Speech; Impeded :,anac.,
Homeosetu Clinical Repertory; Boericke; Speech; Lost : ,"kali-cy., laur.",
Homeosetu Clinical Repertory; Boericke; Speech; Thick :,aesc-g.,
Homeosetu Clinical Repertory; Boericke; Spermatic cord; Neuralgia of :,"berb., ol-an., ox-ac.",
Homeosetu Clinical Repertory; Boericke; Spermatic cord; Pain in :,"anth., arund., clem., ham., morph., ol-an., ox-ac., senec., spong., tus-p.",
Homeosetu Clinical Repertory; Boericke; Spermatic cord; Swelling of :,spong.,
Homeosetu Clinical Repertory; Boericke; Spermatorrhoea : ,"absin., gels., lup., nuph., nux-v., salx-n., staph., trib., ust.",
Homeosetu Clinical Repertory; Boericke; Sphincters; Paralysis of :,"gels., thuj.",
Homeosetu Clinical Repertory; Boericke; Sphincters; Relaxation of : ,"apoc., Oxyt., zing.",
Homeosetu Clinical Repertory; Boericke; Spinal cord; Pains in : ,pic-ac.,
Homeosetu Clinical Repertory; Boericke; Spinal; Exhaustion :,kali-fcy.,
Homeosetu Clinical Repertory; Boericke; Spinal; Irritation :,"ambr., berb., gua., Pedi-can., phys., sec., sil., zinc.",
Homeosetu Clinical Repertory; Boericke; Spinal; Paresis :,irid.,
Homeosetu Clinical Repertory; Boericke; Spinal; Sclerosis :,"arg-n., ox-ac., plb., plb-i.",
Homeosetu Clinical Repertory; Boericke; Spinal; Weakness :,"aesc., alum-sil., bar-c., nux-v., phos., pic-ac., sarcol-ac., sil., stry-p.",
Homeosetu Clinical Repertory; Boericke; Spine; Affections of :,zinc.,
Homeosetu Clinical Repertory; Boericke; Spine; Concussion of : ,hyper.,
Homeosetu Clinical Repertory; Boericke; Spine; Congestion of : ,oxyt.,
Homeosetu Clinical Repertory; Boericke; Spine; Diseases of :,"sil., zinc.",
Homeosetu Clinical Repertory; Boericke; Spine; Injury to :,sil.,
Homeosetu Clinical Repertory; Boericke; Spine; Pain in : ,"aeth., agar., ang., arg-n., bell., cann-i., cur., graph., gua., hyper., joan., lil-t., mag-m., menis., morph., nat-n., nicc-s., oreo., ox-ac., Paraf., polyg-s., stry-p., visc., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Spleen; Affections of : ,"calc-ar., malar., parth., querc., succ., urt-u.",
Homeosetu Clinical Repertory; Boericke; Spleen; Congestion of :,grin.,
Homeosetu Clinical Repertory; Boericke; Spleen; Enlargement of :,"aran., ars., baj., bell-p., Calc-ar., cean., chin., chion., ferr-ar., grin., helia., iod., ph-ac., polym., tinos., xanrhi.",
Homeosetu Clinical Repertory; Boericke; Spleen; Pain in : ,"agar., ars., ars-met., bran., cere-b., cob., diosm., euon-a., Grin., helia., hell-f., ilx-a., magn-gr., med., prim-o., urt-u.",
Homeosetu Clinical Repertory; Boericke; Spleen; Swelling of :,"agn., aran., chin.",
Homeosetu Clinical Repertory; Boericke; Splenic fever :,"ferr-ar., tinos.",
Homeosetu Clinical Repertory; Boericke; Splenitis : ,"cean., diosm., polym.",
Homeosetu Clinical Repertory; Boericke; Spotted fever :,"acet-ac., agar., helo., puls., Sol-n.",
Homeosetu Clinical Repertory; Boericke; Sprains :,"acet-ac., agn., am-m., anemps., arn., Bell-p., berb., Calc., camph., cann-s., chin., cist., elaps., hedeom., hipp., laur., led., nat-c., ol-an., ox-ac., petr., prun., ruta., stront-c., vit.",
Homeosetu Clinical Repertory; Boericke; Squint :,"aeth., bell., hell., zinc.",
Homeosetu Clinical Repertory; Boericke; Staggering :,"alum., asar., botul., bufo., dubin., helo., mang., morph., myric., nux-m., onos., Oxyt., sec., stram., sulfon., veronal.",
Homeosetu Clinical Repertory; Boericke; Stammering : ,"bell., Bov., cupr., stram.",
Homeosetu Clinical Repertory; Boericke; Staphyloma :,"apis., ilx-a.",
Homeosetu Clinical Repertory; Boericke; Starting :,"alum., brom., bry., conv., crot-h., daph., lach., lyc., mag-c., mom-b., mosch., orni., psor., teucr., zinc.",
Homeosetu Clinical Repertory; Boericke; Stasis :,"aesc., arn., bell-p., carb-v., conv., podo., sep., stel.",
Homeosetu Clinical Repertory; Boericke; Sterility :,"agn., aur., bor., calc., cann-i., eup-pur., med., nat-p., paraf., plat., vib., vib-p., x-ray.",
Homeosetu Clinical Repertory; Boericke; Sternum : ,"ang., anis., ap-g., aral., asc-t., aster., aur., aza., brom., bry., card-m., caust., cina., con., cund., Dios., echi., ferr-i., inul., jug-c., just., kali-bi., kreos., merc., merc-acet., morph., nit-ac., nit-s-d., osm., oxyt., ph-ac., phyt., prun-p., psor., ran-b., rhus-t., rumx., ruta., sang., sanguin-n., sin-a., stict., tab., tril., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Sternum; Pains in :,"ang., aster., aur., aza., brom., cina., cund., Dios., jug-c., kali-bi., merc., morph., nit-s-d., osm., prun-p., ruta., stict.",
Homeosetu Clinical Repertory; Boericke; Sternum; Pressure on : ,"ferr-i., kreos., merc-acet., ph-ac., prun-p., sanguin-n., zinc.",
Homeosetu Clinical Repertory; Boericke; Stiff-neck : ,"bad., bell., calc., chel., dulc., ferr-p., guai., hura., petr., pimp., rhodi., stel., Trif-p., x-ray.",
Homeosetu Clinical Repertory; Boericke; Stiffness :,"acon., anac., ang., apis., apoc-a., arist-m., bapt., bar-c., bar-m., berb., bry., calc-ar., calc-p., caul., caust., cham., cimic., cocc., coloc., con., cyt-l., dios., dros., dulc., euphr., fago., form., form-ac., franc., Get., gins., graph., guai., hydr., ind., irid-m., jac-c., kali-bi., kali-c., kali-sil., lac-c., lachn., lath., lith-c., mag-p., Magn-gr., mang., merc-acet., merc-i-r., mez., myric., nat-ar., nat-s., olnd., phyt., pin-s., rhod., Rhus-t., ruta., salol., sarcol-ac., sol-n., stel., stict., stry., stry-p., sulfon., sulph., trio., verb., vip., wye.",
Homeosetu Clinical Repertory; Boericke; Stings : ,"acet-ac., anthr., Apis., ars., cedr., cot., crot-h., echi., elat., led., nit-ac., semp., sil., stann., trach.",
Homeosetu Clinical Repertory; Boericke; Stitch in side : ,"aur-m., bell., card-m., iber., merc-c., stann., tarax.",
Homeosetu Clinical Repertory; Boericke; Stomach; Affections of : ,"bar-m., Cund., euon-a., hoit., ptel.",
Homeosetu Clinical Repertory; Boericke; Stomach; Cancer of :,"Acet-ac., am-m., calc-ar., carc., crot-h., cund., hydr.",
Homeosetu Clinical Repertory; Boericke; Stomach; Catarrh of : ,"abies-c., Bals-p., euon-a., ger., sang.",
Homeosetu Clinical Repertory; Boericke; Stomach; Cough : ,"ambr., ang., bell., bry., cina., kali-m., med., Sabad., sep., tax., verat.",
Homeosetu Clinical Repertory; Boericke; Stomach; Cramp in : ,"act-sp., agar-ph., aran., botul., But-ac., calc., carb-v., cocc., Coch., grat., hyos., ign., jatr., pip-n., trinit., trio.",
Homeosetu Clinical Repertory; Boericke; Stomach; Disorders of : ,"ant-c., carb-v., hydrin-m., kali-c., sang.",
Homeosetu Clinical Repertory; Boericke; Stomach; Distension of :,"Abies-c., agar., ambr., anac., arg-n., Asaf., calc-ar., calc-sil., calen., cann-i., carb-ac., carb-v., coca., corn., ferr., gamb., grat., hep., jal., jug-c., mosch., orni., petr., rob.",
Homeosetu Clinical Repertory; Boericke; Stomach; Hemrrhage from :,"Cocain., crot-h., ger., orni.",
Homeosetu Clinical Repertory; Boericke; Stomach; Inflammation of :,"bapt., cyt-l., phos.",
Homeosetu Clinical Repertory; Boericke; Stomach; Ulceration of :,"Arg-n., bapt., crot-h., cund., ger., hydr., orni., petr., puls., uran-n.",
Homeosetu Clinical Repertory; Boericke; Stomatitis : ,"caps., corn., hydr., kali-c., Kali-chl., merc., rhus-g., sulo-ac., ter.",
Homeosetu Clinical Repertory; Boericke; Stomatitis; Ulcerative : ,"kali-chl., sulo-ac.",
Homeosetu Clinical Repertory; Boericke; Stone in bladder :,guat.,
"Homeosetu Clinical Repertory; Boericke; Stool, bilious :","corn., fl-ac., gamb., nyct., sang.",
Homeosetu Clinical Repertory; Boericke; Strabismus : ,"alum., Cic., cina., cycl., hyos., mag-p., morph., sant., scorp., stram., tab.",
Homeosetu Clinical Repertory; Boericke; Strabismus; Divergent : ,morph.,
Homeosetu Clinical Repertory; Boericke; Strains :,"agar., agn., Alum., am-m., apis., arn., but-ac., cann-i., carb-an., carb-v., caust., chim., cinnam., coca., form., helon., ind., ip., iris., jab., lac-d., lyc., mag-c., mag-m., nit-ac., nux-m., nux-v., onos., pareir., pic-ac., podo., rhus-t., ruta., sanic., senec., sep., sil., tell., verat., xero.",
Homeosetu Clinical Repertory; Boericke; Strangury : ,"agav-a., ant-t., apis., Apoc., camph., caps., dig., dulc., ery-a., Eup-pur., junc., juni-c., linu-u., morph., nux-v., saur., senn., Ter., tritic., verat-v.",
Homeosetu Clinical Repertory; Boericke; Stricture :,"am-m., ant-t., bell., caj., clem., cund., ery-a., eucal., hydrang., indg., nast., nat-m., phos., puls., syph., Thiosin.",
Homeosetu Clinical Repertory; Boericke; Stricture; Spasmodic : ,"bell., caj., ery-a., eucal., hydrang.",
Homeosetu Clinical Repertory; Boericke; Strychnine poisoning : ,"eucal., helo., neri-o., stry., Stry-p., verat-v.",
Homeosetu Clinical Repertory; Boericke; Stump; Irritable : ,symph.,
Homeosetu Clinical Repertory; Boeircke; Stump; Neuralgia in :,all-c.,
Homeosetu Clinical Repertory; Boericke; Stuttering : ,cann-s.,
Homeosetu Clinical Repertory; Boericke; Stye : ,"apis., bor-ac., calc-pic., jug-r., Lappa., lyc., puls., sil., staph., thuj., upa., uran-n.",
Homeosetu Clinical Repertory; Boericke; Subinvolution :,"epip., frax., goss., kali-i., lil-t., mel-c-s., nat-h.",
"Homeosetu Clinical Repertory; Boericke; Suffocation, fits of : ","ars., hyos., lach.",
Homeosetu Clinical Repertory; Boericke; Sunburn : ,"canth., mangi., ust.",
Homeosetu Clinical Repertory; Boericke; Sun-headache :,"brom., sang.",
Homeosetu Clinical Repertory; Boericke; Sunstroke :,"glon., mate., nat-c., usn., Verat-v.",
Homeosetu Clinical Repertory; Boericke; Sunstroke; Chronic effects of : ,nat-c.,
"Homeosetu Clinical Repertory; Boericke; Suppressed eruptions, effects of :","ant-c., calc., cic., psor., stram., Zinc.",
Homeosetu Clinical Repertory; Boericke; Suppressed menstruation : ,"ant-c., antipyrin., apis., aral., arge., calen., con., cupr., dulc., Ferr-i., glon., goss., helon., kali-m., kalm., leon., Mill., nat-m., op., plat., podo., puls., sabin., sang., senec., tanac., verat-v., zinc.",
Homeosetu Clinical Repertory; Boericke; Suppressions : ,"abrot., acon., agar., agar-ph., am-m., ant-c., antipyrin., apis., apoc., aral., arge., ars-h., asaf., asar-c., asc-c., aur-m., bar-c., bell., benz-ac., bry., cadm., calc., calen., camph-br., chin-s., cic., clem., coff., colch., coll., con., cot., cupr., dig., dulc., echi., elat., ferr-i., glon., goss., hell., helon., hyos., ign., jatr., juni-c., juni-v., kali-bi., kali-c., kali-chl., kali-m., kalm., lach., leon., liatr., lob., mag-s., med., merc-c., merc-cy., mill., nat-m., nux-m., ol-an., op., oxyd., phyt., plat., podo., polytr., psor., puls., sabal., sabin., sal-ac., sang., sec., senec., stigm., Stram., sulph., tanac., ter., thlaspi., urt-u., verat-v., x-ray., Zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Suppuration : ,"anan., apis., arund., aur., bar-c., bell., bor., brom., bufo., calc-f., calc-s., calen., caps., chin., cist., cycl., echi., eucal., euph-l., fab., ferr-p., graph., guai., gunp., Hep., ind., jug-r., kali-n., lap-a., lyc., mang., merc., merc-i-r., myris., nat-m., oper., petr., phos., plb., polyg-s., rhus-t., sal-mar., sil., sil-mar., sulph., tarent-c., teucr., thiosin., thuj., verat-v.",
Homeosetu Clinical Repertory; Boericke; Supraorbital neuralgia :,"cedr., hydr-ac., kali-bi., morph., sapo., stront-c., thea.",
Homeosetu Clinical Repertory; Boericke; Swallowing; Constant : ,"lyss., merc., merc-i-f., myric., sabad., sumb., wye.",
